[2026-06-17T16:44:17.787Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, -814B)
[2026-06-17T16:44:17.787Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (?ms, -814B)
[2026-06-17T16:44:17.788Z] GET https://fonts.gstatic.com/s/spacegrotesk/v22/V8mDoQDjQSkFtoMM3T6r8E7mPbF4C_k3HqU.woff2 → 200 (?ms, -814B)
[2026-06-17T16:44:17.900Z] GET http://localhost:8000/uploads/LOGO%202.png → 200 (?ms, -188B)
[2026-06-17T16:44:20.551Z] GET http://localhost:8000/index.html → 200 (2ms, ?B)
[2026-06-17T16:44:20.557Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@300;400;500;600&family=Space+Grotesk:wght@500;600;700;800&family=JetBrains+Mono:wght@400;500&display=swap → 200 (?ms, -743B)
[2026-06-17T16:44:20.558Z] GET https://cdn.tailwindcss.com/ → 200 (?ms, -765B)
[2026-06-17T16:44:20.558Z] GET https://unpkg.com/react@18.3.1/umd/react.development.js → 200 (?ms, -837B)
[2026-06-17T16:44:20.558Z] GET https://unpkg.com/react-dom@18.3.1/umd/react-dom.development.js → 200 (?ms, -836B)
[2026-06-17T16:44:20.558Z] GET https://unpkg.com/@babel/standalone@7.29.0/babel.min.js → 200 (?ms, -836B)
[2026-06-17T16:44:20.744Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, -814B)
[2026-06-17T16:44:20.744Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (1ms, -814B)
[2026-06-17T16:44:20.745Z] GET https://fonts.gstatic.com/s/spacegrotesk/v22/V8mDoQDjQSkFtoMM3T6r8E7mPbF4C_k3HqU.woff2 → 200 (?ms, -814B)
[2026-06-17T16:44:20.749Z] GET http://localhost:8000/uploads/LOGO%202.png → 200 (1ms, -188B)
[2026-06-17T16:44:20.750Z] GET http://localhost:8000/uploads/imp.svg → 200 (?ms, -190B)
[2026-06-17T16:44:20.750Z] GET http://localhost:8000/uploads/Smobler_logo-03.png → 200 (?ms, -187B)
[2026-06-17T16:44:20.750Z] GET http://localhost:8000/uploads/CareO_Logo.webp → 200 (?ms, -187B)
[2026-06-17T16:44:22.694Z] GET http://localhost:8000/About.html → 200 (26ms, ?B)
[2026-06-17T16:44:22.727Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@300;400;500;600&family=Space+Grotesk:wght@500;600;700;800&family=JetBrains+Mono:wght@400;500&display=swap → 200 (?ms, -743B)
[2026-06-17T16:44:22.728Z] GET https://cdn.tailwindcss.com/ → 200 (?ms, -765B)
[2026-06-17T16:44:22.728Z] GET https://unpkg.com/react@18.3.1/umd/react.development.js → 200 (?ms, -837B)
[2026-06-17T16:44:22.728Z] GET https://unpkg.com/react-dom@18.3.1/umd/react-dom.development.js → 200 (?ms, -836B)
[2026-06-17T16:44:22.729Z] GET https://unpkg.com/@babel/standalone@7.29.0/babel.min.js → 200 (?ms, -836B)
[2026-06-17T16:44:22.838Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, -814B)
[2026-06-17T16:44:22.838Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (?ms, -814B)
[2026-06-17T16:44:22.838Z] GET https://fonts.gstatic.com/s/spacegrotesk/v22/V8mDoQDjQSkFtoMM3T6r8E7mPbF4C_k3HqU.woff2 → 200 (?ms, -814B)
[2026-06-17T16:44:22.845Z] GET http://localhost:8000/uploads/LOGO%202.png → 200 (?ms, -188B)
[2026-06-17T16:47:21.007Z] GET http://localhost:8000/Services.html → 200 (24ms, 50626B)
[2026-06-17T16:47:21.035Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@300;400;500;600&family=Space+Grotesk:wght@500;600;700;800&family=JetBrains+Mono:wght@400;500&display=swap → 200 (?ms, -743B)
